# ID	Inflected form	Lemmatised form	Frequency	CValue	CValue1	CValuePlus	CValuePlus1	CValueStar	CValueStarH	CValueStarM	CValueStarR	CValueWCard	CValueWCardPlus	D	DDW	Freq	idf	ilnc	ilncFreq	iLong	IM	iTer	LLR	nbdoc4tc	NormFreq	tf	tf-idf	Head	Modifier	MainHead
260	parc éolien	parc éolien	243	241.545454545455	382.840487674192	244.454545454545	387.45128767629	133.371450164424	133.371450164424	122.842125151443	N/A	241.545454545455	244.454545454545	1	0	243	0:0	14	15	121.5	1.37777511961722	1215	4.58262405459043e-06	1	0.341772151898734	0:243	0:0	49	262	49	
2448	suivi de la mortalité aviaire	suivi de le mortalité aviaire	48	111.452548554593	124.078200034615	111.452548554593	124.078200034615	77	N/A	N/A	12.6256514800221	0	0	1	0	48	0:0	0	0	9.6	4.61313868613139	8	1.34687395726035	1	0.0675105485232067	0:48	0:0	169	993	169	
934	suivi environnemental	suivi environnemental	49	47.625	75.4838390968451	50.375	79.8424859738282	26.9082750331732	26.9082750331732	23.9834625295674	N/A	47.625	50.375	1	0	49	0:0	3	3	24.5	4.54105839416058	65.3333333333333	3.93579577665345	1	0.0689170182841069	0:49	0:0	169	936	169	
599	périmètre de sécurité	périmètre de sécurité	28	42.5675643050825	53.7142857142857	46.1903357353023	58.2857142857143	7	8.30074998557687	N/A	N/A	26.8571428571429	29.1428571428571	1	0	28	0:0	7	8	9.33333333333333	2.83791874554526	56	0.236519052446255	1	0.0393811533052039	0:28	0:0	600	10	600	
1688	éoliennes du parc	éolienne du parc	30	40.8920325186058	51.6	54.2057175246635	68.4	9.5458624834134	6.6405999884615	9.5458624834134	N/A	25.8	34.2	1	0	30	0:0	1	14	10	0.250867391943546	15	1.41080199813183	1	0.0421940928270042	0:30	0:0	81	49	81	
993	mortalité aviaire	mortalité aviaire	54	37.3333333333333	59.1719333602565	70.6666666666667	112.004016717628	1	N/A	2.33985000288462	N/A	37.3333333333333	70.6666666666667	1	0	54	0:0	0	0	27	6.46363636363636	18	1.08009565172116	1	0.0759493670886076	0:54	0:0	512	995	512	
510	cas de mortalité	cas de mortalité	23	34.8691750158654	44	38.0391000173078	48	9.13082498413456	8.71578748485572	9.13082498413456	N/A	22	24	1	0	23	0:0	2	2	7.66666666666667	3.02833333333333	17.25	19.08731157188	1	0.0323488045007032	0:23	0:0	511	512	511	
1859	système de détection	système de détection	22	32.2756000146854	40.7272727272727	37.4627500170455	47.2727272727273	7.88571248629803	2.90526249495191	7.88571248629803	N/A	20.3636363636364	23.6363636363636	1	0	22	0:0	8	15	7.33333333333333	2.79321428571429	49.5	11.884837298684	1	0.0309423347398031	0:22	0:0	21	629	21	
2861	inspection des installations	inspection du installation	21	31.6992500144231	40	34.8691750158654	44	4	N/A	7.88571248629803	N/A	20	22	1	0	21	0:0	0	0	7	6.665625	5.25	0.319178826007882	1	0.029535864978903	0:21	0:0	431	274	431	
845	milan royal	milan royal	31	29.5714285714286	46.8696053784685	32.4285714285714	51.3980696662432	2	N/A	12.2842125151443	N/A	29.5714285714286	32.4285714285714	1	0	31	0:0	0	0	15.5	12.7996515679443	10.3333333333333	0.762162902178825	1	0.0436005625879044	0:31	0:0	705	847	705	
1565	collision directe	collision direct	29	28	44.3789500201924	30	47.5488750216347	2	16.3789500201924	N/A	N/A	28	30	1	0	29	0:0	1	1	14.5	6.52087286527514	19.3333333333333	1.83287269512081	1	0.0407876230661041	0:29	0:0	344	1567	344	
11836	autres éoliennes du parc	autre éolienne du parc	14	28	32.5069933284231	28	32.5069933284231	11	N/A	N/A	4.50699332842307	0	0	1	0	14	0:0	0	0	3.5	3.68666666666667	2.8	12.5539617465202	1	0.019690576652602	0:14	0:0	1688	46	81	
2044	impact de foudre	impact de foudre	18	26.9443625122597	34	30.114287513702	38	11	N/A	6.6405999884615	N/A	17	19	1	0	18	0:0	0	0	6	8.23552123552123	4.5	8.41366473823564	1	0.0253164556962025	0:18	0:0	2045	1828	2045	
9980	orientation des pales	orientation du pale	12	17.4345875079327	22	20.604512509375	26	4	4.56541249206728	N/A	N/A	11	13	1	0	12	0:0	1	1	4	2.75225806451613	6	1.32834908863666	1	0.0168776371308017	0:12	0:0	1879	150	1879	
5198	cadavre de chiroptère	cadavre de chiroptère	11	17.4345875079327	22	17.4345875079327	22	1.24511249783653	N/A	N/A	4.56541249206728	0	0	1	0	11	0:0	0	0	3.66666666666667	2.57608695652174	2.75	9.69780953932195	1	0.0154711673699015	0:11	0:0	844	1485	844	
12310	équipe de maintenance	équipe de maintenance	11	17.4345875079327	22	17.4345875079327	22	3	N/A	N/A	4.56541249206728	0	0	1	0	11	0:0	0	0	3.66666666666667	2.78030572342695	2.75	1.86659867897082	1	0.0154711673699015	0:11	0:0	2140	370	2140	
2248	pied de l' éolienne	pied de le éolienne	9	16	18.5754247590989	20	23.2192809488736	11	N/A	0.643856189774725	N/A	8	10	1	0	9	0:0	0	0	2.25	0.10823748308525	1.8	36.7498540657612	1	0.0126582278481013	0:9	0:0	411	185	411	
3803	fibre de verre	fibre de verre	11	15.8496250072116	20	19.0195500086539	24	4.15037499278844	4.15037499278844	3.73533749350959	N/A	10	12	1	0	11	0:0	1	1	3.66666666666667	14.3241758241758	5.5	3.95171549854399	1	0.0154711673699015	0:11	0:0	1208	422	1208	
